Date,Time,PWM1,RPM,KNOTS,PWM2,RPM2,KNOTS2
01-01-1970,00:00:26,0,0,0,0,0,0
01-01-1970,00:00:27,0,0,0,0,0,0
01-01-1970,00:00:28,0,0,0,0,0,0
01-01-1970,00:00:29,0,0,0,0,0,0
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,242,4745,94.9,0,0,0
01-01-1970,00:00:03,214,4196,83.92,0,0,0
01-01-1970,00:00:04,0,0,0,0,0,0
01-01-1970,00:00:05,97,1901,38.02,0,0,0
01-01-1970,00:00:06,97,1901,38.02,0,0,0
01-01-1970,00:00:07,97,1901,38.02,0,0,0
01-01-1970,00:00:08,97,1901,38.02,0,0,0
01-01-1970,00:00:09,97,1901,38.02,0,0,0
01-01-1970,00:00:10,97,1901,38.02,0,0,0
01-01-1970,00:00:11,97,1901,38.02,0,0,0
01-01-1970,00:00:12,97,1901,38.02,0,0,0
01-01-1970,00:00:13,97,1901,38.02,0,0,0
01-01-1970,00:00:14,97,1901,38.02,0,0,0
01-01-1970,00:00:15,97,1901,38.02,0,0,0
01-01-1970,00:00:16,97,1901,38.02,0,0,0
01-01-1970,00:00:17,97,1901,38.02,0,0,0
01-01-1970,00:00:18,97,1901,38.02,0,0,0
01-01-1970,00:00:19,0,0,0,0,0,0
01-01-1970,00:00:20,0,0,0,0,0,0
01-01-1970,00:00:21,105,2058,41.16,88,1725,34.5
01-01-1970,00:00:03,0,0,0,0,0,0
01-01-1970,00:00:04,23,450,9,131,2568,51.36
01-01-1970,00:00:05,145,2843,56.86,160,3137,62.74
01-01-1970,00:00:06,173,3392,67.84,40,784,15.68
01-01-1970,00:00:07,196,3843,76.86,154,3019,60.38
01-01-1970,00:00:08,211,4137,82.74,210,4117,82.34
01-01-1970,00:00:09,211,4137,82.74,210,4117,82.34
01-01-1970,00:00:10,211,4137,82.74,210,4117,82.34
01-01-1970,00:00:11,0,0,0,2,39,0.78
01-01-1970,00:00:12,0,0,0,2,39,0.78
01-01-1970,00:00:13,253,4960,99.2,0,0,0
01-01-1970,00:00:14,255,5000,100,0,0,0
01-01-1970,00:00:15,255,5000,100,185,3627,72.54
01-01-1970,00:00:16,255,5000,100,253,4960,99.2
01-01-1970,00:00:17,255,5000,100,255,5000,100
01-01-1970,00:00:18,0,0,0,255,5000,100
01-01-1970,00:00:19,0,0,0,255,5000,100
01-01-1970,00:00:20,244,4784,95.68,255,5000,100
01-01-1970,00:00:21,255,5000,100,255,5000,100
01-01-1970,00:00:22,180,3529,70.58,255,5000,100
01-01-1970,00:00:23,4,78,1.56,255,5000,100
01-01-1970,00:00:24,0,0,0,255,5000,100
01-01-1970,00:00:25,157,3078,61.56,255,5000,100
01-01-1970,00:00:26,7,137,2.74,255,5000,100
01-01-1970,00:00:27,0,0,0,255,5000,100
01-01-1970,00:00:28,0,0,0,255,5000,100
01-01-1970,00:00:29,0,0,0,255,5000,100
01-01-1970,00:00:30,0,0,0,0,0,0
01-01-1970,00:00:31,0,0,0,237,4647,92.94
01-01-1970,00:00:32,0,0,0,115,2254,45.08
01-01-1970,00:00:33,0,0,0,0,0,0
01-01-1970,00:00:34,0,0,0,0,0,0
01-01-1970,00:00:35,255,5000,100,255,5000,100
01-01-1970,00:00:36,255,5000,100,255,5000,100
01-01-1970,00:00:37,255,5000,100,255,5000,100
01-01-1970,00:00:38,255,5000,100,255,5000,100
01-01-1970,00:00:39,255,5000,100,255,5000,100
01-01-1970,00:00:40,0,0,0,2,39,0.78
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,255,5000,100,255,5000,100
01-01-1970,00:00:03,255,5000,100,255,5000,100
01-01-1970,00:00:04,101,1980,39.6,255,5000,100
01-01-1970,00:00:05,0,0,0,0,0,0
01-01-1970,00:00:06,0,0,0,0,0,0
01-01-1970,00:00:07,0,0,0,0,0,0
01-01-1970,00:00:08,255,5000,100,255,5000,100
01-01-1970,00:00:09,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:10,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:11,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:12,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:13,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:14,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:15,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:16,77,1509,30.18,77,1509,30.18
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,0,0,0,0,0,0
01-01-1970,00:00:03,0,0,0,0,0,0
01-01-1970,00:00:04,0,0,0,0,0,0
01-01-1970,00:00:05,0,0,0,0,0,0
01-01-1970,00:00:06,0,0,0,0,0,0
01-01-1970,00:00:07,0,0,0,0,0,0
01-01-1970,00:00:08,0,0,0,0,0,0
01-01-1970,00:00:09,0,0,0,0,0,0
01-01-1970,00:00:10,0,0,0,0,0,0
01-01-1970,00:00:11,0,0,0,0,0,0
01-01-1970,00:00:12,0,0,0,0,0,0
01-01-1970,00:00:13,0,0,0,0,0,0
01-01-1970,00:00:14,0,0,0,0,0,0
01-01-1970,00:00:15,0,0,0,0,0,0
01-01-1970,00:00:16,0,0,0,0,0,0
01-01-1970,00:00:17,0,0,0,0,0,0
01-01-1970,00:00:18,0,0,0,0,0,0
01-01-1970,00:00:19,0,0,0,0,0,0
01-01-1970,00:00:20,0,0,0,0,0,0
01-01-1970,00:00:21,0,0,0,0,0,0
01-01-1970,00:00:22,0,0,0,0,0,0
01-01-1970,00:00:23,0,0,0,0,0,0
01-01-1970,00:00:24,0,0,0,0,0,0
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,143,2803,56.06,143,2803,56.06
01-01-1970,00:00:03,59,1156,23.12,77,1509,30.18
01-01-1970,00:00:04,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:05,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:06,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:07,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:08,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:09,59,1156,23.12,59,1156,23.12
01-01-1970,00:00:10,68,1333,26.66,68,1333,26.66
01-01-1970,00:00:11,94,1843,36.86,87,1705,34.1
01-01-1970,00:00:12,132,2588,51.76,127,2490,49.8
01-01-1970,00:00:13,176,3450,69,175,3431,68.62
01-01-1970,00:00:14,200,3921,78.42,199,3901,78.02
01-01-1970,00:00:15,240,4705,94.1,239,4686,93.72
01-01-1970,00:00:16,230,4509,90.18,233,4568,91.36
01-01-1970,00:00:17,171,3352,67.04,185,3627,72.54
01-01-1970,00:00:18,76,1490,29.8,113,2215,44.3
01-01-1970,00:00:19,68,1333,26.66,11,215,4.3
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:01,0,0,0,0,0,0
01-01-1970,00:00:02,120,2352,47.04,0,0,0
